GEOID,county,state,state_abbr,ALAND,year,scenario,scenario_label,data_type,observed_temp_2025_f,observed_temp_2025_c,projected_temp_c,temp_change_from_2025_c,rank_within_scenario
06019,Fresno,California,CA,15432656110,2036,ssp245,Medium emissions (SSP245),projected,57.31666666666667,14.064814814814817,13.735095024108887,-0.32971979070592994,1056
06019,Fresno,California,CA,15432656110,2036,ssp585,High emissions (SSP585),projected,57.31666666666667,14.064814814814817,11.789690971374512,-2.275123843440305,2607
06021,Glenn,California,CA,3403182198,2036,ssp126,Low emissions (SSP126),projected,61.975,16.65277777777778,13.196586608886719,-3.45619116889106,3016
06021,Glenn,California,CA,3403182198,2036,ssp245,Medium emissions (SSP245),projected,61.975,16.65277777777778,13.299400329589844,-3.353377448187935,3039
06021,Glenn,California,CA,3403182198,2036,ssp585,High emissions (SSP585),projected,61.975,16.65277777777778,12.324681282043457,-4.3280964957343215,3061
06023,Humboldt,California,CA,9241138639,2036,ssp126,Low emissions (SSP126),projected,55.82499999999999,13.236111111111105,13.10993480682373,-0.12617630428737492,330
06023,Humboldt,California,CA,9241138639,2036,ssp245,Medium emissions (SSP245),projected,55.82499999999999,13.236111111111105,13.094616889953613,-0.1414942211574921,905
06023,Humboldt,California,CA,9241138639,2036,ssp585,High emissions (SSP585),projected,55.82499999999999,13.236111111111105,12.484097480773926,-0.7520136303371796,1171
06025,Imperial,California,CA,10814568237,2036,ssp126,Low emissions (SSP126),projected,76.04166666666667,24.467592592592595,20.304227828979492,-4.163364763613103,3083
06025,Imperial,California,CA,10814568237,2036,ssp245,Medium emissions (SSP245),projected,76.04166666666667,24.467592592592595,20.984649658203125,-3.4829429343894702,3054
06025,Imperial,California,CA,10814568237,2036,ssp585,High emissions (SSP585),projected,76.04166666666667,24.467592592592595,18.571680068969727,-5.895912523622869,3105
06027,Inyo,California,CA,26410783052,2036,ssp126,Low emissions (SSP126),projected,63.04166666666668,17.245370370370377,11.355900764465332,-5.889469605905045,3116
