year,scenario,lat,lon,temp_anomaly
2020,ssp245,31.5,-76.875,0.66867065
2020,ssp245,31.5,-75.625,0.65270996
2020,ssp245,31.5,-74.375,0.5958557
2020,ssp245,31.5,-73.125,0.6152649
2020,ssp245,31.5,-71.875,0.69366455
2020,ssp245,31.5,-70.625,0.7328186
2020,ssp245,31.5,-69.375,0.747406
2020,ssp245,31.5,-68.125,0.7187195
2020,ssp245,31.5,-66.875,0.68411255
2020,ssp245,32.5,-124.37499999999997,-0.027923584
2020,ssp245,32.5,-123.125,0.06295776
2020,ssp245,32.5,-121.87499999999997,0.12072754
2020,ssp245,32.5,-120.625,0.13348389
2020,ssp245,32.5,-119.37499999999997,0.19854736
2020,ssp245,32.5,-118.125,0.28640747
2020,ssp245,32.5,-116.87499999999997,0.5857544
2020,ssp245,32.5,-115.625,0.70617676
2020,ssp245,32.5,-114.375,0.5918579
2020,ssp245,32.5,-113.125,0.7121582
2020,ssp245,32.5,-111.875,0.7850647
2020,ssp245,32.5,-110.62500000000003,0.8356018
2020,ssp245,32.5,-109.375,0.7988281
2020,ssp245,32.5,-108.12500000000003,0.7434082
2020,ssp245,32.5,-106.875,0.6664429
2020,ssp245,32.5,-105.62499999999997,0.6240845
2020,ssp245,32.5,-104.375,0.2480774
2020,ssp245,32.5,-103.125,0.38253784
2020,ssp245,32.5,-101.875,0.64642334
2020,ssp245,32.5,-100.625,0.67736816
2020,ssp245,32.5,-99.375,0.7541504
2020,ssp245,32.5,-98.125,0.49942017
2020,ssp245,32.5,-96.875,0.21133423
2020,ssp245,32.5,-95.625,0.087890625
2020,ssp245,32.5,-94.375,-0.23461914
2020,ssp245,32.5,-93.125,-0.31384277
2020,ssp245,32.5,-91.875,0.02670288
2020,ssp245,32.5,-90.625,0.47561646
2020,ssp245,32.5,-89.375,0.4461975
2020,ssp245,32.5,-88.125,0.44476318
2020,ssp245,32.5,-86.875,0.63064575
2020,ssp245,32.5,-85.625,0.7184143
2020,ssp245,32.5,-84.375,0.73394775
2020,ssp245,32.5,-83.125,0.65878296
2020,ssp245,32.5,-81.875,0.50341797
2020,ssp245,32.5,-80.625,0.5204468
2020,ssp245,32.5,-79.375,0.5959778
2020,ssp245,32.5,-78.125,0.61898804
2020,ssp245,32.5,-76.875,0.6123657
2020,ssp245,32.5,-75.625,0.61932373
2020,ssp245,32.5,-74.375,0.59439087
2020,ssp245,32.5,-73.125,0.620697
2020,ssp245,32.5,-71.875,0.6670532
2020,ssp245,32.5,-70.625,0.69750977
2020,ssp245,32.5,-69.375,0.71881104
2020,ssp245,32.5,-68.125,0.69766235
2020,ssp245,32.5,-66.875,0.7038269
2020,ssp245,33.5,-124.37499999999997,-0.045288086
2020,ssp245,33.5,-123.125,0.03753662
2020,ssp245,33.5,-121.87499999999997,0.07675171
2020,ssp245,33.5,-120.625,0.14639282
2020,ssp245,33.5,-119.37499999999997,0.2814026
2020,ssp245,33.5,-118.125,0.4625244
2020,ssp245,33.5,-116.87499999999997,0.802063
2020,ssp245,33.5,-115.625,0.7492676
2020,ssp245,33.5,-114.375,0.6786804
2020,ssp245,33.5,-113.125,0.7719116
2020,ssp245,33.5,-111.875,0.75634766
2020,ssp245,33.5,-110.62500000000003,0.7905884
2020,ssp245,33.5,-109.375,0.8186035
2020,ssp245,33.5,-108.12500000000003,0.5927429
2020,ssp245,33.5,-106.875,0.3804016
2020,ssp245,33.5,-105.62499999999997,0.3373108
2020,ssp245,33.5,-104.375,0.15612793
2020,ssp245,33.5,-103.125,0.33605957
2020,ssp245,33.5,-101.875,0.5104065
2020,ssp245,33.5,-100.625,0.4625244
2020,ssp245,33.5,-99.375,0.4277954
2020,ssp245,33.5,-98.125,0.28338623
2020,ssp245,33.5,-96.875,0.091033936
2020,ssp245,33.5,-95.625,-0.045135498
2020,ssp245,33.5,-94.375,-0.1607666
