state,state_abbr,year,scenario,scenario_label,temp_anomaly,impact_category,impact_score
Mississippi,MS,2080,ssp126,Low emissions,2.2691689,Medium impact,2
Missouri,MO,2080,ssp126,Low emissions,2.356606,High impact,3
Montana,MT,2080,ssp126,Low emissions,1.6357069,Medium impact,2
Nebraska,NE,2080,ssp126,Low emissions,2.1683116,Medium impact,2
Nevada,NV,2080,ssp126,Low emissions,0.5274162,Low impact,1
New Hampshire,NH,2080,ssp126,Low emissions,1.3566589,Medium impact,2
New Jersey,NJ,2080,ssp126,Low emissions,1.6260376,Medium impact,2
New Mexico,NM,2080,ssp126,Low emissions,1.4285339,Medium impact,2
New York,NY,2080,ssp126,Low emissions,1.5295783,Medium impact,2
North Carolina,NC,2080,ssp126,Low emissions,2.0098073,Medium impact,2
North Dakota,ND,2080,ssp126,Low emissions,2.5387843,High impact,3
Ohio,OH,2080,ssp126,Low emissions,2.1023498,Medium impact,2
Oklahoma,OK,2080,ssp126,Low emissions,2.5460393,High impact,3
Oregon,OR,2080,ssp126,Low emissions,1.0846294,Low impact,1
Pennsylvania,PA,2080,ssp126,Low emissions,1.8195343,Medium impact,2
Rhode Island,RI,2080,ssp126,Low emissions,1.2895813,Medium impact,2
South Carolina,SC,2080,ssp126,Low emissions,2.170288,Medium impact,2
South Dakota,SD,2080,ssp126,Low emissions,2.2572546,Medium impact,2
Tennessee,TN,2080,ssp126,Low emissions,2.4341624,High impact,3
Texas,TX,2080,ssp126,Low emissions,1.8058887,Medium impact,2
Utah,UT,2080,ssp126,Low emissions,1.1779497,Low impact,1
Vermont,VT,2080,ssp126,Low emissions,1.35142,Medium impact,2
Virginia,VA,2080,ssp126,Low emissions,1.8940277,Medium impact,2
Washington,WA,2080,ssp126,Low emissions,1.7730244,Medium impact,2
West Virginia,WV,2080,ssp126,Low emissions,2.084067,Medium impact,2
Wisconsin,WI,2080,ssp126,Low emissions,2.5357666,High impact,3
Wyoming,WY,2080,ssp126,Low emissions,1.7052816,Medium impact,2
Alabama,AL,2090,ssp126,Low emissions,1.4771752,Medium impact,2
Alaska,AK,2090,ssp126,Low emissions,2.6895208,High impact,3
Arizona,AZ,2090,ssp126,Low emissions,0.8830707,Low impact,1
Arkansas,AR,2090,ssp126,Low emissions,1.5297638,Medium impact,2
California,CA,2090,ssp126,Low emissions,1.7110838,Medium impact,2
Colorado,CO,2090,ssp126,Low emissions,1.3590744,Medium impact,2
Connecticut,CT,2090,ssp126,Low emissions,1.2771912,Low impact,1
Delaware,DE,2090,ssp126,Low emissions,1.4281921,Medium impact,2
Florida,FL,2090,ssp126,Low emissions,0.4627533,Low impact,1
Georgia,GA,2090,ssp126,Low emissions,1.233841,Low impact,1
Hawaii,HI,2090,ssp126,Low emissions,0.6837616,Low impact,1
Idaho,ID,2090,ssp126,Low emissions,1.8692459,Medium impact,2
Illinois,IL,2090,ssp126,Low emissions,1.5581774,Medium impact,2
Indiana,IN,2090,ssp126,Low emissions,1.5750732,Medium impact,2
Iowa,IA,2090,ssp126,Low emissions,1.835452,Medium impact,2
Kansas,KS,2090,ssp126,Low emissions,1.8459015,Medium impact,2
Kentucky,KY,2090,ssp126,Low emissions,1.6342337,Medium impact,2
Louisiana,LA,2090,ssp126,Low emissions,1.6111794,Medium impact,2
Maine,ME,2090,ssp126,Low emissions,1.3330417,Medium impact,2
Maryland,MD,2090,ssp126,Low emissions,1.5399374,Medium impact,2
Massachusetts,MA,2090,ssp126,Low emissions,1.353836,Medium impact,2
Michigan,MI,2090,ssp126,Low emissions,1.572045,Medium impact,2
Minnesota,MN,2090,ssp126,Low emissions,2.23991,Medium impact,2
Mississippi,MS,2090,ssp126,Low emissions,1.7815132,Medium impact,2
Missouri,MO,2090,ssp126,Low emissions,1.6836724,Medium impact,2
Montana,MT,2090,ssp126,Low emissions,2.036772,Medium impact,2
Nebraska,NE,2090,ssp126,Low emissions,2.312317,High impact,3
Nevada,NV,2090,ssp126,Low emissions,1.5199178,Medium impact,2
New Hampshire,NH,2090,ssp126,Low emissions,1.3476868,Medium impact,2
